"field","year","n","total","prop"
"AGRI",1960,0,7496,0
"AGRI",1961,0,8819,0
"AGRI",1962,0,9134,0
"AGRI",1963,0,9491,0
"AGRI",1964,0,10039,0
"AGRI",1965,0,12350,0
"AGRI",1966,0,12654,0
"AGRI",1967,0,14188,0
"AGRI",1968,0,15126,0
"AGRI",1969,0,17190,0
"AGRI",1970,0,18354,0
"AGRI",1971,0,19012,0
"AGRI",1972,1,19996,5.00100020004001e-05
"AGRI",1973,0,21830,0
"AGRI",1974,0,22663,0
"AGRI",1975,1,22972,4.35312554414069e-05
"AGRI",1976,1,25445,3.93004519551975e-05
"AGRI",1977,1,25997,3.84659768434819e-05
"AGRI",1978,1,26875,3.72093023255814e-05
"AGRI",1979,1,28820,3.46981263011797e-05
"AGRI",1980,1,29169,3.42829716479824e-05
"AGRI",1981,4,29799,0.000134232692372227
"AGRI",1982,1,33692,2.96806363528434e-05
"AGRI",1983,0,35230,0
"AGRI",1984,0,38369,0
"AGRI",1985,1,39300,2.54452926208651e-05
"AGRI",1986,1,39160,2.55362614913177e-05
"AGRI",1987,1,39701,2.51882824110224e-05
"AGRI",1988,1,42171,2.37129781129212e-05
"AGRI",1989,0,45567,0
"AGRI",1990,2,50093,3.99257381270836e-05
"AGRI",1991,3,50366,5.95639915816225e-05
"AGRI",1992,3,50510,5.93941793704217e-05
"AGRI",1993,2,54954,3.63940750445827e-05
"AGRI",1994,3,63675,4.71142520612485e-05
"AGRI",1995,3,64553,4.64734404287949e-05
"AGRI",1996,1,78383,1.27578684153452e-05
"AGRI",1997,4,82068,4.87400692108983e-05
"AGRI",1998,3,83315,3.60079217427834e-05
"AGRI",1999,4,84472,4.73529690311583e-05
"AGRI",2000,3,87463,3.4300218378057e-05
"AGRI",2001,4,91822,4.35625449238745e-05
"AGRI",2002,1,97372,1.02698927823194e-05
"AGRI",2003,5,99847,5.00766172243533e-05
"AGRI",2004,4,105106,3.8056818830514e-05
"AGRI",2005,7,117409,5.96206423698354e-05
"AGRI",2006,6,128769,4.65950655825548e-05
"AGRI",2007,10,141444,7.06993580498289e-05
"AGRI",2008,7,152212,4.5988489737997e-05
"AGRI",2009,7,159803,4.38039335932367e-05
"AGRI",2010,17,169080,0.000100544121126094
"AGRI",2011,19,187747,0.00010120001917474
"AGRI",2012,25,198300,0.000126071608673727
"AGRI",2013,28,211681,0.000132274507395562
"AGRI",2014,34,216570,0.000156993120007388
"AGRI",2015,43,224537,0.00019150518622766
"AGRI",2016,41,222906,0.000183934034974384
"AGRI",2017,28,229998,0.000121740189045122
"AGRI",2018,42,237974,0.000176489868641112
"AGRI",2019,34,246734,0.000137800222101534
"AGRI",2020,38,260939,0.00014562790537252
"AGRI",2021,16,281062,5.6926941386598e-05
"ARTS",1960,0,7354,0
"ARTS",1961,0,7567,0
"ARTS",1962,0,7552,0
"ARTS",1963,0,8138,0
"ARTS",1964,0,8781,0
"ARTS",1965,0,8814,0
"ARTS",1966,1,9174,0.000109003706126008
"ARTS",1967,3,9617,0.000311947592804409
"ARTS",1968,3,10383,0.000288933834151979
"ARTS",1969,0,11131,0
"ARTS",1970,0,11446,0
"ARTS",1971,3,11935,0.000251361541684122
"ARTS",1972,3,12031,0.00024935583077051
"ARTS",1973,3,13398,0.000223914017017465
"ARTS",1974,8,14949,0.000535152853033648
"ARTS",1975,11,15025,0.000732113144758735
"ARTS",1976,9,15165,0.000593471810089021
"ARTS",1977,14,15766,0.000887986807053152
"ARTS",1978,12,16078,0.000746361487747232
"ARTS",1979,19,16332,0.00116336027430811
"ARTS",1980,23,17332,0.00132702515578121
"ARTS",1981,17,17516,0.000970541219456497
"ARTS",1982,17,18425,0.000922659430122117
"ARTS",1983,23,18773,0.00122516379907314
"ARTS",1984,23,19850,0.00115869017632242
"ARTS",1985,32,19524,0.00163900839991805
"ARTS",1986,44,20328,0.00216450216450216
"ARTS",1987,27,21564,0.00125208681135225
"ARTS",1988,49,22711,0.00215754480207829
"ARTS",1989,34,23539,0.00144441140235354
"ARTS",1990,45,24359,0.00184736647645634
"ARTS",1991,46,24432,0.00188277668631303
"ARTS",1992,40,24947,0.00160339920631739
"ARTS",1993,55,26047,0.00211156755096556
"ARTS",1994,62,27330,0.00226856933772411
"ARTS",1995,58,27263,0.00212742544840993
"ARTS",1996,75,29059,0.00258095598609725
"ARTS",1997,98,29510,0.00332090816672314
"ARTS",1998,82,30773,0.00266467357748676
"ARTS",1999,55,31523,0.00174475779589506
"ARTS",2000,74,33461,0.00221152984071008
"ARTS",2001,72,33617,0.00214177350745159
"ARTS",2002,77,55835,0.00137906331154294
"ARTS",2003,107,64357,0.00166260080488525
"ARTS",2004,86,68275,0.00125961186378616
"ARTS",2005,105,72517,0.00144793634596026
"ARTS",2006,143,79259,0.00180421150910307
"ARTS",2007,116,87660,0.00132329454711385
"ARTS",2008,114,92714,0.00122958776452316
"ARTS",2009,139,106654,0.00130327976447203
"ARTS",2010,162,117609,0.00137744560365278
"ARTS",2011,123,127919,0.000961545978314402
"ARTS",2012,173,140498,0.00123133425386838
"ARTS",2013,148,152621,0.00096972238420663
"ARTS",2014,139,152180,0.000913392035747142
"ARTS",2015,149,151319,0.000984674759944224
"ARTS",2016,121,158835,0.000761796833191677
"ARTS",2017,155,169724,0.000913247389880041
"ARTS",2018,164,162160,0.00101134681795757
"ARTS",2019,167,161136,0.00103639161950154
"ARTS",2020,151,161084,0.000937399120955526
"ARTS",2021,177,159300,0.00111111111111111
"BIOC",1960,0,22762,0
"BIOC",1961,0,23021,0
"BIOC",1962,0,24360,0
"BIOC",1963,0,27599,0
"BIOC",1964,2,31872,6.27510040160643e-05
"BIOC",1965,1,33864,2.95298842428538e-05
"BIOC",1966,1,36864,2.71267361111111e-05
"BIOC",1967,2,42267,4.73182388151513e-05
"BIOC",1968,0,44673,0
"BIOC",1969,1,47696,2.09661187520966e-05
"BIOC",1970,0,48901,0
"BIOC",1971,2,54331,3.68113968084519e-05
"BIOC",1972,0,58164,0
"BIOC",1973,2,64346,3.10819631367917e-05
"BIOC",1974,1,66450,1.50489089541008e-05
"BIOC",1975,1,69740,1.43389733295096e-05
"BIOC",1976,7,71890,9.73709834469328e-05
"BIOC",1977,4,75253,5.31540270819768e-05
"BIOC",1978,1,79400,1.25944584382872e-05
"BIOC",1979,4,84964,4.70787627701144e-05
"BIOC",1980,8,87337,9.15992076668537e-05
"BIOC",1981,3,91163,3.29080877110231e-05
"BIOC",1982,2,93935,2.12913184648959e-05
"BIOC",1983,6,92958,6.45452785128768e-05
"BIOC",1984,8,100343,7.97265379747466e-05
"BIOC",1985,3,103000,2.9126213592233e-05
"BIOC",1986,7,107117,6.53491042504924e-05
"BIOC",1987,3,110479,2.71544818472289e-05
"BIOC",1988,30,116700,0.00025706940874036
"BIOC",1989,7,123404,5.67242552915627e-05
"BIOC",1990,11,133842,8.21864586602113e-05
"BIOC",1991,9,135413,6.64633380842312e-05
"BIOC",1992,11,138708,7.93032845978602e-05
"BIOC",1993,11,145875,7.54070265638389e-05
"BIOC",1994,20,152737,0.000130944041064051
"BIOC",1995,18,154240,0.000116701244813278
"BIOC",1996,26,170555,0.000152443493301281
"BIOC",1997,26,171853,0.000151292092660588
"BIOC",1998,30,170093,0.000176374101226976
"BIOC",1999,31,167826,0.000184715121614053
"BIOC",2000,20,171676,0.00011649852046879
"BIOC",2001,22,175719,0.000125199893011001
"BIOC",2002,31,179908,0.000172310291926985
"BIOC",2003,45,189284,0.000237738002155491
"BIOC",2004,44,197532,0.000222748719194865
"BIOC",2005,38,208192,0.000182523824162312
"BIOC",2006,77,221714,0.000347294261977142
"BIOC",2007,31,235237,0.000131781990078091
"BIOC",2008,46,242717,0.000189521129545932
"BIOC",2009,62,255550,0.00024261396986891
"BIOC",2010,62,259919,0.000238535851553753
"BIOC",2011,72,277975,0.000259016098570015
"BIOC",2012,77,300849,0.000255942349816685
"BIOC",2013,86,319738,0.000268970219367107
"BIOC",2014,103,327574,0.000314432769389512
"BIOC",2015,133,331801,0.000400842673771327
"BIOC",2016,100,327271,0.000305557168218388
"BIOC",2017,93,326236,0.000285069704140561
"BIOC",2018,129,346875,0.000371891891891892
"BIOC",2019,111,352030,0.000315314035735591
"BIOC",2020,130,386017,0.000336772732807104
"BIOC",2021,106,428206,0.000247544406197017
"BUSI",1960,0,701,0
"BUSI",1961,0,776,0
"BUSI",1962,0,921,0
"BUSI",1963,0,878,0
"BUSI",1964,0,967,0
"BUSI",1965,0,924,0
"BUSI",1966,0,1069,0
