Code,Description,Group,Supergroups
1000,Multidisciplinary,Multidisciplinary,Multidisciplinary
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences ,Life Sciences
1101,Agricultural and Biological Sciences (miscellaneous),Agricultural and Biological Sciences ,Life Sciences
1102,Agronomy and Crop Science,Agricultural and Biological Sciences ,Life Sciences
1103,Animal Science and Zoology,Agricultural and Biological Sciences ,Life Sciences
1104,Aquatic Science,Agricultural and Biological Sciences ,Life Sciences
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences ,Life Sciences
1106,Food Science,Agricultural and Biological Sciences ,Life Sciences
1107,Forestry,Agricultural and Biological Sciences ,Life Sciences
1108,Horticulture,Agricultural and Biological Sciences ,Life Sciences
1109,Insect Science,Agricultural and Biological Sciences ,Life Sciences
1110,Plant Science,Agricultural and Biological Sciences ,Life Sciences
1111,Soil Science,Agricultural and Biological Sciences ,Life Sciences
1200,General Arts and Humanities,Arts and Humanities ,Social Sciences
1201,Arts and Humanities (miscellaneous),Arts and Humanities ,Social Sciences
1202,History,Arts and Humanities ,Social Sciences
1203,Language and Linguistics,Arts and Humanities ,Social Sciences
1204,Archaeology,Arts and Humanities ,Social Sciences
1205,Classics,Arts and Humanities ,Social Sciences
1206,Conservation,Arts and Humanities ,Social Sciences
1207,History and Philosophy of Science,Arts and Humanities ,Social Sciences
1208,Literature and Literary Theory,Arts and Humanities ,Social Sciences
1209,Museology,Arts and Humanities ,Social Sciences
1210,Music,Arts and Humanities ,Social Sciences
1211,Philosophy,Arts and Humanities ,Social Sciences
1212,Religious studies,Arts and Humanities ,Social Sciences
1213,Visual Arts and Performing Arts,Arts and Humanities ,Social Sciences
1300,"General Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology ",Life Sciences
1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)","Biochemistry, Genetics and Molecular Biology ",Life Sciences
1302,Ageing,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1303,Biochemistry,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1304,Biophysics,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1305,Biotechnology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1306,Cancer Research,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1308,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1310,Endocrinology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1311,Genetics,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1313,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1314,Physiology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1315,Structural Biology,"Biochemistry, Genetics and Molecular Biology ",Life Sciences
1400,"General Business, Management and Accounting","Business, Management and Accounting ",Social Sciences
1401,"Business, Management and Accounting (miscellaneous)","Business, Management and Accounting ",Social Sciences
1402,Accounting,"Business, Management and Accounting ",Social Sciences
1403,Business and International Management,"Business, Management and Accounting ",Social Sciences
1404,Management Information Systems,"Business, Management and Accounting ",Social Sciences
1405,Management of Technology and Innovation,"Business, Management and Accounting ",Social Sciences
1406,Marketing,"Business, Management and Accounting ",Social Sciences
1407,Organizational Behavior and Human Resource Management,"Business, Management and Accounting ",Social Sciences
1408,Strategy and Management,"Business, Management and Accounting ",Social Sciences
1409,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting ",Social Sciences
1410,Industrial relations,"Business, Management and Accounting ",Social Sciences
1500,General Chemical Engineering,Chemical Engineering ,Physical Sciences
1501,Chemical Engineering (miscellaneous),Chemical Engineering ,Physical Sciences
1502,Bioengineering,Chemical Engineering ,Physical Sciences
1503,Catalysis,Chemical Engineering ,Physical Sciences
1504,Chemical Health and Safety,Chemical Engineering ,Physical Sciences
1505,Colloid and Surface Chemistry,Chemical Engineering ,Physical Sciences
1506,Filtration and Separation,Chemical Engineering ,Physical Sciences
1507,Fluid Flow and Transfer Processes,Chemical Engineering ,Physical Sciences
1508,Process Chemistry and Technology,Chemical Engineering ,Physical Sciences
1600,General Chemistry,Chemistry ,Physical Sciences
1601,Chemistry (miscellaneous),Chemistry ,Physical Sciences
1602,Analytical Chemistry,Chemistry ,Physical Sciences
1603,Electrochemistry,Chemistry ,Physical Sciences
1604,Inorganic Chemistry,Chemistry ,Physical Sciences
1605,Organic Chemistry,Chemistry ,Physical Sciences
1606,Physical and Theoretical Chemistry,Chemistry ,Physical Sciences
1607,Spectroscopy,Chemistry ,Physical Sciences
1700,General Computer Science,Computer Science ,Physical Sciences
1701,Computer Science (miscellaneous),Computer Science ,Physical Sciences
1702,Artificial Intelligence,Computer Science ,Physical Sciences
1703,Computational Theory and Mathematics,Computer Science ,Physical Sciences
1704,Computer Graphics and Computer-Aided Design,Computer Science ,Physical Sciences
1705,Computer Networks and Communications,Computer Science ,Physical Sciences
1706,Computer Science Applications,Computer Science ,Physical Sciences
1707,Computer Vision and Pattern Recognition,Computer Science ,Physical Sciences
1708,Hardware and Architecture,Computer Science ,Physical Sciences
1709,Human-Computer Interaction,Computer Science ,Physical Sciences
1710,Information Systems,Computer Science ,Physical Sciences
1711,Signal Processing,Computer Science ,Physical Sciences
1712,Software,Computer Science ,Physical Sciences
1800,General Decision Sciences,Decision Sciences ,Social Sciences
1801,Decision Sciences (miscellaneous),Decision Sciences ,Social Sciences
1802,Information Systems and Management,Decision Sciences ,Social Sciences
1803,Management Science and Operations Research,Decision Sciences ,Social Sciences
1804,"Statistics, Probability and Uncertainty",Decision Sciences ,Social Sciences
1900,General Earth and Planetary Sciences,Earth and Planetary Sciences ,Physical Sciences
1901,Earth and Planetary Sciences (miscellaneous),Earth and Planetary Sciences ,Physical Sciences
1902,Atmospheric Science,Earth and Planetary Sciences ,Physical Sciences
1903,Computers in Earth Sciences,Earth and Planetary Sciences ,Physical Sciences
1904,Earth-Surface Processes,Earth and Planetary Sciences ,Physical Sciences
1905,Economic Geology,Earth and Planetary Sciences ,Physical Sciences
1906,Geochemistry and Petrology,Earth and Planetary Sciences ,Physical Sciences
1907,Geology,Earth and Planetary Sciences ,Physical Sciences
1908,Geophysics,Earth and Planetary Sciences ,Physical Sciences
1909,Geotechnical Engineering and Engineering Geology,Earth and Planetary Sciences ,Physical Sciences
1910,Oceanography,Earth and Planetary Sciences ,Physical Sciences
1911,Palaeontology,Earth and Planetary Sciences ,Physical Sciences
1912,Space and Planetary Science,Earth and Planetary Sciences ,Physical Sciences
1913,Stratigraphy,Earth and Planetary Sciences ,Physical Sciences
2000,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance ",Social Sciences
2001,"Economics, Econometrics and Finance (miscellaneous)","Economics, Econometrics and Finance ",Social Sciences
2002,Economics and Econometrics,"Economics, Econometrics and Finance ",Social Sciences
2003,Finance,"Economics, Econometrics and Finance ",Social Sciences
2100,General Energy,Energy ,Physical Sciences
2101,Energy (miscellaneous),Energy ,Physical Sciences
2102,Energy Engineering and Power Technology,Energy ,Physical Sciences
2103,Fuel Technology,Energy ,Physical Sciences
2104,Nuclear Energy and Engineering,Energy ,Physical Sciences
2105,"Renewable Energy, Sustainability and the Environment",Energy ,Physical Sciences
2200,General Engineering,Engineering ,Physical Sciences
2201,Engineering (miscellaneous),Engineering ,Physical Sciences
2202,Aerospace Engineering,Engineering ,Physical Sciences
2203,Automotive Engineering,Engineering ,Physical Sciences
2204,Biomedical Engineering,Engineering ,Physical Sciences
2205,Civil and Structural Engineering,Engineering ,Physical Sciences
2206,Computational Mechanics,Engineering ,Physical Sciences
2207,Control and Systems Engineering,Engineering ,Physical Sciences
2208,Electrical and Electronic Engineering,Engineering ,Physical Sciences
2209,Industrial and Manufacturing Engineering,Engineering ,Physical Sciences
2210,Mechanical Engineering,Engineering ,Physical Sciences
2211,Mechanics of Materials,Engineering ,Physical Sciences
2212,Ocean Engineering,Engineering ,Physical Sciences
2213,"Safety, Risk, Reliability and Quality",Engineering ,Physical Sciences
2214,Media Technology,Engineering ,Physical Sciences
2215,Building and Construction,Engineering ,Physical Sciences
2216,Architecture ,Engineering ,Physical Sciences
2300,General Environmental Science,Environmental Science ,Physical Sciences
2301,Environmental Science (miscellaneous),Environmental Science ,Physical Sciences
2302,Ecological Modelling,Environmental Science ,Physical Sciences
2303,Ecology,Environmental Science ,Physical Sciences
2304,Environmental Chemistry,Environmental Science ,Physical Sciences
2305,Environmental Engineering,Environmental Science ,Physical Sciences
2306,Global and Planetary Change,Environmental Science ,Physical Sciences
2307,"Health, Toxicology and Mutagenesis",Environmental Science ,Physical Sciences
2308,"Management, Monitoring, Policy and Law",Environmental Science ,Physical Sciences
2309,Nature and Landscape Conservation,Environmental Science ,Physical Sciences
2310,Pollution,Environmental Science ,Physical Sciences
2311,Waste Management and Disposal,Environmental Science ,Physical Sciences
2312,Water Science and Technology,Environmental Science ,Physical Sciences
2400,General Immunology and Microbiology,Immunology and Microbiology ,Life Sciences
2401,Immunology and Microbiology (miscellaneous) ,Immunology and Microbiology ,Life Sciences
2402,Applied Microbiology and Biotechnology,Immunology and Microbiology ,Life Sciences
2403,Immunology,Immunology and Microbiology ,Life Sciences
2404,Microbiology,Immunology and Microbiology ,Life Sciences
2405,Parasitology,Immunology and Microbiology ,Life Sciences
2406,Virology,Immunology and Microbiology ,Life Sciences
2500,General Materials Science,Materials Science ,Physical Sciences
2501,Materials Science (miscellaneous),Materials Science ,Physical Sciences
2502,Biomaterials,Materials Science ,Physical Sciences
2503,Ceramics and Composites,Materials Science ,Physical Sciences
2504,"Electronic, Optical and Magnetic Materials",Materials Science ,Physical Sciences
2505,Materials Chemistry,Materials Science ,Physical Sciences
2506,Metals and Alloys,Materials Science ,Physical Sciences
2507,Polymers and Plastics,Materials Science ,Physical Sciences
2508,"Surfaces, Coatings and Films",Materials Science ,Physical Sciences
2600,General Mathematics,Mathematics ,Physical Sciences
2601,Mathematics (miscellaneous),Mathematics ,Physical Sciences
2602,Algebra and Number Theory,Mathematics ,Physical Sciences
2603,Analysis,Mathematics ,Physical Sciences
2604,Applied Mathematics,Mathematics ,Physical Sciences
2605,Computational Mathematics,Mathematics ,Physical Sciences
2606,Control and Optimization,Mathematics ,Physical Sciences
2607,Discrete Mathematics and Combinatorics,Mathematics ,Physical Sciences
2608,Geometry and Topology,Mathematics ,Physical Sciences
2609,Logic,Mathematics ,Physical Sciences
2610,Mathematical Physics,Mathematics ,Physical Sciences
2611,Modelling and Simulation,Mathematics ,Physical Sciences
2612,Numerical Analysis,Mathematics ,Physical Sciences
2613,Statistics and Probability,Mathematics ,Physical Sciences
2614,Theoretical Computer Science,Mathematics ,Physical Sciences
