"field","year","total"
"AGRI",1980,32
"AGRI",1981,32
"AGRI",1982,48
"AGRI",1983,48
"AGRI",1984,47
"AGRI",1985,55
"AGRI",1986,71
"AGRI",1987,72
"AGRI",1988,99
"AGRI",1989,136
"AGRI",1990,191
"AGRI",1991,219
"AGRI",1992,278
"AGRI",1993,289
"AGRI",1994,337
"AGRI",1995,366
"AGRI",1996,559
"AGRI",1997,576
"AGRI",1998,597
"AGRI",1999,712
"AGRI",2000,802
"AGRI",2001,884
"AGRI",2002,1144
"AGRI",2003,1227
"AGRI",2004,1444
"AGRI",2005,1745
"AGRI",2006,1992
"AGRI",2007,2607
"AGRI",2008,3176
"AGRI",2009,3528
"AGRI",2010,4305
"AGRI",2011,4923
"AGRI",2012,5590
"AGRI",2013,6238
"AGRI",2014,6816
"AGRI",2015,7696
"AGRI",2016,8354
"AGRI",2017,8355
"AGRI",2018,9281
"AGRI",2019,10059
"AGRI",2020,11201
"AGRI",2021,13473
"ARTS",1980,8
"ARTS",1981,13
"ARTS",1982,12
"ARTS",1983,8
"ARTS",1984,11
"ARTS",1985,12
"ARTS",1986,17
"ARTS",1987,19
"ARTS",1988,25
"ARTS",1989,25
"ARTS",1990,25
"ARTS",1991,49
"ARTS",1992,78
"ARTS",1993,77
"ARTS",1994,81
"ARTS",1995,81
"ARTS",1996,90
"ARTS",1997,100
"ARTS",1998,104
"ARTS",1999,141
"ARTS",2000,156
"ARTS",2001,156
"ARTS",2002,181
"ARTS",2003,183
"ARTS",2004,246
"ARTS",2005,244
"ARTS",2006,303
"ARTS",2007,375
"ARTS",2008,375
"ARTS",2009,463
"ARTS",2010,613
"ARTS",2011,596
"ARTS",2012,744
"ARTS",2013,807
"ARTS",2014,858
"ARTS",2015,899
"ARTS",2016,891
"ARTS",2017,887
"ARTS",2018,1087
"ARTS",2019,1070
"ARTS",2020,1243
"ARTS",2021,1423
"BIOC",1980,12
"BIOC",1981,14
"BIOC",1982,8
"BIOC",1983,11
"BIOC",1984,14
"BIOC",1985,11
"BIOC",1986,14
"BIOC",1987,8
"BIOC",1988,20
"BIOC",1989,14
"BIOC",1990,33
"BIOC",1991,20
"BIOC",1992,48
"BIOC",1993,46
"BIOC",1994,41
"BIOC",1995,54
"BIOC",1996,69
"BIOC",1997,70
"BIOC",1998,79
"BIOC",1999,69
"BIOC",2000,74
"BIOC",2001,137
"BIOC",2002,117
"BIOC",2003,196
"BIOC",2004,205
"BIOC",2005,257
"BIOC",2006,249
"BIOC",2007,378
"BIOC",2008,494
"BIOC",2009,540
"BIOC",2010,709
"BIOC",2011,846
"BIOC",2012,1051
"BIOC",2013,1290
"BIOC",2014,1503
"BIOC",2015,1634
"BIOC",2016,1649
"BIOC",2017,1726
"BIOC",2018,1973
"BIOC",2019,2407
"BIOC",2020,2837
"BIOC",2021,3039
"BUSI",1980,3
"BUSI",1981,5
"BUSI",1982,6
"BUSI",1983,9
"BUSI",1984,10
"BUSI",1985,7
"BUSI",1986,4
"BUSI",1987,8
"BUSI",1988,9
"BUSI",1989,13
"BUSI",1990,14
"BUSI",1991,8
"BUSI",1992,15
"BUSI",1993,17
"BUSI",1994,15
"BUSI",1995,21
"BUSI",1996,26
"BUSI",1997,22
"BUSI",1998,32
"BUSI",1999,51
"BUSI",2000,52
"BUSI",2001,60
"BUSI",2002,83
"BUSI",2003,89
"BUSI",2004,106
"BUSI",2005,144
"BUSI",2006,150
"BUSI",2007,222
"BUSI",2008,310
"BUSI",2009,399
"BUSI",2010,487
"BUSI",2011,445
"BUSI",2012,579
"BUSI",2013,731
"BUSI",2014,719
"BUSI",2015,963
"BUSI",2016,918
"BUSI",2017,1070
"BUSI",2018,1123
"BUSI",2019,1130
"BUSI",2020,1204
"BUSI",2021,1420
"CENG",1980,3
"CENG",1981,0
"CENG",1982,0
"CENG",1983,4
"CENG",1984,1
"CENG",1985,1
"CENG",1986,0
"CENG",1987,3
"CENG",1988,6
"CENG",1989,4
"CENG",1990,7
"CENG",1991,8
"CENG",1992,7
"CENG",1993,24
"CENG",1994,24
"CENG",1995,18
"CENG",1996,32
"CENG",1997,15
"CENG",1998,42
"CENG",1999,67
"CENG",2000,95
"CENG",2001,75
"CENG",2002,88
"CENG",2003,86
"CENG",2004,133
"CENG",2005,156
"CENG",2006,141
"CENG",2007,213
"CENG",2008,213
"CENG",2009,187
"CENG",2010,254
"CENG",2011,254
"CENG",2012,233
"CENG",2013,213
"CENG",2014,235
"CENG",2015,283
"CENG",2016,399
"CENG",2017,305
"CENG",2018,428
"CENG",2019,505
"CENG",2020,723
"CENG",2021,894
"CHEM",1980,2
"CHEM",1981,1
"CHEM",1982,2
"CHEM",1983,4
"CHEM",1984,1
"CHEM",1985,0
"CHEM",1986,3
"CHEM",1987,2
"CHEM",1988,3
"CHEM",1989,2
"CHEM",1990,3
"CHEM",1991,12
"CHEM",1992,6
"CHEM",1993,20
"CHEM",1994,16
"CHEM",1995,14
"CHEM",1996,15
"CHEM",1997,17
"CHEM",1998,32
"CHEM",1999,26
"CHEM",2000,33
"CHEM",2001,44
"CHEM",2002,65
"CHEM",2003,94
"CHEM",2004,87
"CHEM",2005,159
"CHEM",2006,107
"CHEM",2007,209
"CHEM",2008,201
"CHEM",2009,218
"CHEM",2010,254
"CHEM",2011,272
"CHEM",2012,232
"CHEM",2013,292
"CHEM",2014,333
"CHEM",2015,387
"CHEM",2016,473
"CHEM",2017,425
"CHEM",2018,590
"CHEM",2019,618
"CHEM",2020,779
"CHEM",2021,923
"COMP",1980,1
"COMP",1981,0
"COMP",1982,1
"COMP",1983,0
"COMP",1984,2
"COMP",1985,2
"COMP",1986,2
"COMP",1987,5
"COMP",1988,4
"COMP",1989,4
"COMP",1990,12
"COMP",1991,11
"COMP",1992,15
"COMP",1993,29
"COMP",1994,27
"COMP",1995,45
"COMP",1996,42
"COMP",1997,47
"COMP",1998,62
"COMP",1999,81
"COMP",2000,64
"COMP",2001,83
"COMP",2002,137
"COMP",2003,159
"COMP",2004,249
"COMP",2005,235
"COMP",2006,247
"COMP",2007,380
"COMP",2008,376
"COMP",2009,427
"COMP",2010,625
"COMP",2011,644
"COMP",2012,694
"COMP",2013,777
"COMP",2014,745
"COMP",2015,1107
"COMP",2016,977
"COMP",2017,964
"COMP",2018,1246
"COMP",2019,1539
"COMP",2020,1692
"COMP",2021,1553
"DECI",1980,0
"DECI",1981,0
"DECI",1982,0
"DECI",1983,2
"DECI",1984,1
"DECI",1985,1
"DECI",1986,0
"DECI",1987,2
"DECI",1988,0
"DECI",1989,3
"DECI",1990,0
"DECI",1991,3
"DECI",1992,0
"DECI",1993,1
"DECI",1994,1
"DECI",1995,2
"DECI",1996,2
"DECI",1997,5
"DECI",1998,6
"DECI",1999,6
"DECI",2000,7
"DECI",2001,4
"DECI",2002,10
"DECI",2003,19
"DECI",2004,14
"DECI",2005,57
"DECI",2006,24
"DECI",2007,35
"DECI",2008,65
"DECI",2009,74
"DECI",2010,88
"DECI",2011,109
"DECI",2012,91
"DECI",2013,205
"DECI",2014,117
"DECI",2015,230
"DECI",2016,238
"DECI",2017,293
"DECI",2018,335
"DECI",2019,435
"DECI",2020,607
"DECI",2021,708
"DENT",1980,2
"DENT",1981,0
"DENT",1982,1
"DENT",1983,0
"DENT",1984,0
"DENT",1985,0
"DENT",1986,1
"DENT",1987,0
"DENT",1988,0
"DENT",1989,1
"DENT",1990,1
