"field","year","total"
"AGRI",1900,118
"AGRI",1901,119
"AGRI",1902,73
"AGRI",1903,126
"AGRI",1904,124
"AGRI",1905,120
"AGRI",1906,117
"AGRI",1907,182
"AGRI",1908,195
"AGRI",1909,186
"AGRI",1910,223
"AGRI",1911,205
"AGRI",1912,217
"AGRI",1913,179
"AGRI",1914,238
"AGRI",1915,204
"AGRI",1916,290
"AGRI",1917,323
"AGRI",1918,284
"AGRI",1919,300
"AGRI",1920,319
"AGRI",1921,339
"AGRI",1922,316
"AGRI",1923,348
"AGRI",1924,369
"AGRI",1925,340
"AGRI",1926,387
"AGRI",1927,460
"AGRI",1928,511
"AGRI",1929,537
"AGRI",1930,555
"AGRI",1931,538
"AGRI",1932,595
"AGRI",1933,582
"AGRI",1934,603
"AGRI",1935,704
"AGRI",1936,763
"AGRI",1937,808
"AGRI",1938,726
"AGRI",1939,713
"AGRI",1940,704
"AGRI",1941,711
"AGRI",1942,626
"AGRI",1943,687
"AGRI",1944,649
"AGRI",1945,676
"AGRI",1946,648
"AGRI",1947,723
"AGRI",1948,648
"AGRI",1949,866
"AGRI",1950,722
"AGRI",1951,833
"AGRI",1952,788
"AGRI",1953,1084
"AGRI",1954,1226
"AGRI",1955,1204
"AGRI",1956,1280
"AGRI",1957,1370
"AGRI",1958,1496
"AGRI",1959,1465
"AGRI",1960,1469
"AGRI",1961,1792
"AGRI",1962,1916
"AGRI",1963,1995
"AGRI",1964,2118
"AGRI",1965,2582
"AGRI",1966,2716
"AGRI",1967,3000
"AGRI",1968,3293
"AGRI",1969,3726
"AGRI",1970,4118
"AGRI",1971,4383
"AGRI",1972,4580
"AGRI",1973,5680
"AGRI",1974,6154
"AGRI",1975,6117
"AGRI",1976,7134
"AGRI",1977,7125
"AGRI",1978,7022
"AGRI",1979,7733
"AGRI",1980,7518
"AGRI",1981,8060
"AGRI",1982,9613
"AGRI",1983,9744
"AGRI",1984,10450
"AGRI",1985,10905
"AGRI",1986,10755
"AGRI",1987,11210
"AGRI",1988,12831
"AGRI",1989,14444
"AGRI",1990,15409
"AGRI",1991,15757
"AGRI",1992,15217
"AGRI",1993,16233
"AGRI",1994,19621
"AGRI",1995,18916
"AGRI",1996,23652
"AGRI",1997,24692
"AGRI",1998,24048
"AGRI",1999,24148
"AGRI",2000,24819
"AGRI",2001,25259
"AGRI",2002,26750
"AGRI",2003,29466
"AGRI",2004,30572
"AGRI",2005,32609
"AGRI",2006,33907
"AGRI",2007,35902
"AGRI",2008,37160
"AGRI",2009,38378
"AGRI",2010,39655
"AGRI",2011,42065
"AGRI",2012,46956
"AGRI",2013,48599
"AGRI",2014,47603
"AGRI",2015,51551
"AGRI",2016,47125
"AGRI",2017,47447
"AGRI",2018,48265
"AGRI",2019,47310
"AGRI",2020,46730
"AGRI",2021,48720
"ARTS",1900,45
"ARTS",1901,72
"ARTS",1902,48
"ARTS",1903,58
"ARTS",1904,75
"ARTS",1905,97
"ARTS",1906,128
"ARTS",1907,103
"ARTS",1908,161
"ARTS",1909,194
"ARTS",1910,199
"ARTS",1911,178
"ARTS",1912,242
"ARTS",1913,192
"ARTS",1914,230
"ARTS",1915,242
"ARTS",1916,225
"ARTS",1917,201
"ARTS",1918,176
"ARTS",1919,286
"ARTS",1920,284
"ARTS",1921,258
"ARTS",1922,289
"ARTS",1923,321
"ARTS",1924,379
"ARTS",1925,362
"ARTS",1926,337
"ARTS",1927,421
"ARTS",1928,453
"ARTS",1929,499
"ARTS",1930,738
"ARTS",1931,717
"ARTS",1932,747
"ARTS",1933,674
"ARTS",1934,746
"ARTS",1935,727
"ARTS",1936,826
"ARTS",1937,959
"ARTS",1938,974
"ARTS",1939,947
"ARTS",1940,949
"ARTS",1941,909
"ARTS",1942,901
"ARTS",1943,866
"ARTS",1944,792
"ARTS",1945,804
"ARTS",1946,991
"ARTS",1947,1062
"ARTS",1948,1123
"ARTS",1949,1198
"ARTS",1950,1412
"ARTS",1951,1411
"ARTS",1952,1265
"ARTS",1953,1410
"ARTS",1954,1575
"ARTS",1955,1692
"ARTS",1956,1762
"ARTS",1957,1948
"ARTS",1958,2178
"ARTS",1959,2558
"ARTS",1960,2643
"ARTS",1961,2439
"ARTS",1962,2631
"ARTS",1963,3033
"ARTS",1964,3147
"ARTS",1965,3133
"ARTS",1966,3197
"ARTS",1967,3229
"ARTS",1968,3657
"ARTS",1969,3957
"ARTS",1970,4363
"ARTS",1971,4431
"ARTS",1972,4799
"ARTS",1973,5259
"ARTS",1974,5827
"ARTS",1975,5903
"ARTS",1976,5972
"ARTS",1977,6194
"ARTS",1978,6105
"ARTS",1979,5965
"ARTS",1980,6570
"ARTS",1981,6744
"ARTS",1982,6982
"ARTS",1983,6901
"ARTS",1984,7409
"ARTS",1985,7259
"ARTS",1986,7793
"ARTS",1987,8396
"ARTS",1988,8641
"ARTS",1989,9076
"ARTS",1990,9319
"ARTS",1991,9295
"ARTS",1992,9457
"ARTS",1993,9820
"ARTS",1994,9811
"ARTS",1995,9716
"ARTS",1996,9366
"ARTS",1997,9607
