"year","month","total","field"
2019,"December",18988,"AGRI"
2019,"December",10068,"ARTS"
2019,"December",32432,"BIOC"
2019,"December",6665,"BUSI"
2019,"December",12427,"CENG"
2019,"December",24469,"CHEM"
2019,"December",33524,"COMP"
2019,"December",10202,"DECI"
2019,"December",1584,"DENT"
2019,"December",14731,"EART"
2019,"December",4545,"ECON"
2019,"December",12721,"ENER"
2019,"December",48781,"ENGI"
2019,"December",20983,"ENVI"
2019,"December",2915,"HEAL"
2019,"December",6818,"IMMU"
2019,"December",25670,"MATE"
2019,"December",20757,"MATH"
2019,"December",64687,"MEDI"
2019,"December",6403,"NEUR"
2019,"December",4602,"NURS"
2019,"December",7884,"PHAR"
2019,"December",38397,"PHYS"
2019,"December",5597,"PSYC"
2019,"December",24417,"SOCI"
2019,"December",1668,"VETE"
2019,"December",23547,"MULT"
2020,"January",19365,"AGRI"
2020,"January",15716,"ARTS"
2020,"January",29458,"BIOC"
2020,"January",8986,"BUSI"
2020,"January",13682,"CENG"
2020,"January",23421,"CHEM"
2020,"January",20502,"COMP"
2020,"January",3979,"DECI"
2020,"January",1537,"DENT"
2020,"January",12058,"EART"
2020,"January",6992,"ECON"
2020,"January",10676,"ENER"
2020,"January",40971,"ENGI"
2020,"January",18849,"ENVI"
2020,"January",3889,"HEAL"
2020,"January",7726,"IMMU"
2020,"January",27638,"MATE"
2020,"January",11254,"MATH"
2020,"January",67816,"MEDI"
2020,"January",6863,"NEUR"
2020,"January",5172,"NURS"
2020,"January",9015,"PHAR"
2020,"January",26794,"PHYS"
2020,"January",8254,"PSYC"
2020,"January",33271,"SOCI"
2020,"January",2315,"VETE"
2020,"January",3564,"MULT"
2020,"February",13839,"AGRI"
2020,"February",4480,"ARTS"
2020,"February",23516,"BIOC"
2020,"February",4675,"BUSI"
2020,"February",13560,"CENG"
2020,"February",20939,"CHEM"
2020,"February",17994,"COMP"
2020,"February",3383,"DECI"
2020,"February",1218,"DENT"
2020,"February",10441,"EART"
2020,"February",2558,"ECON"
2020,"February",11022,"ENER"
2020,"February",33996,"ENGI"
2020,"February",16977,"ENVI"
2020,"February",2194,"HEAL"
2020,"February",5821,"IMMU"
2020,"February",21895,"MATE"
2020,"February",10371,"MATH"
2020,"February",52133,"MEDI"
2020,"February",5685,"NEUR"
2020,"February",3991,"NURS"
2020,"February",6150,"PHAR"
2020,"February",24339,"PHYS"
2020,"February",4357,"PSYC"
2020,"February",13834,"SOCI"
2020,"February",1577,"VETE"
2020,"February",3203,"MULT"
2020,"March",16584,"AGRI"
2020,"March",8156,"ARTS"
2020,"March",24746,"BIOC"
2020,"March",6699,"BUSI"
2020,"March",13416,"CENG"
2020,"March",22841,"CHEM"
2020,"March",22643,"COMP"
2020,"March",4391,"DECI"
2020,"March",1409,"DENT"
2020,"March",12742,"EART"
2020,"March",4579,"ECON"
2020,"March",10969,"ENER"
2020,"March",41923,"ENGI"
2020,"March",19267,"ENVI"
2020,"March",3022,"HEAL"
2020,"March",6654,"IMMU"
2020,"March",28199,"MATE"
2020,"March",11789,"MATH"
2020,"March",59736,"MEDI"
2020,"March",5459,"NEUR"
2020,"March",4994,"NURS"
2020,"March",7721,"PHAR"
2020,"March",28379,"PHYS"
2020,"March",5426,"PSYC"
2020,"March",21892,"SOCI"
2020,"March",2264,"VETE"
2020,"March",3318,"MULT"
2020,"April",16404,"AGRI"
2020,"April",8379,"ARTS"
2020,"April",25413,"BIOC"
2020,"April",5377,"BUSI"
2020,"April",13171,"CENG"
2020,"April",20892,"CHEM"
2020,"April",21055,"COMP"
2020,"April",3994,"DECI"
2020,"April",1417,"DENT"
2020,"April",11822,"EART"
2020,"April",3493,"ECON"
2020,"April",9992,"ENER"
2020,"April",39549,"ENGI"
2020,"April",19869,"ENVI"
2020,"April",3124,"HEAL"
2020,"April",6131,"IMMU"
2020,"April",24728,"MATE"
2020,"April",11543,"MATH"
2020,"April",60960,"MEDI"
2020,"April",5738,"NEUR"
2020,"April",4617,"NURS"
2020,"April",7619,"PHAR"
2020,"April",24877,"PHYS"
2020,"April",5589,"PSYC"
2020,"April",21807,"SOCI"
2020,"April",1495,"VETE"
2020,"April",3679,"MULT"
2020,"May",14692,"AGRI"
2020,"May",6337,"ARTS"
2020,"May",24491,"BIOC"
2020,"May",5116,"BUSI"
2020,"May",12359,"CENG"
2020,"May",20671,"CHEM"
2020,"May",20692,"COMP"
2020,"May",3545,"DECI"
2020,"May",1093,"DENT"
2020,"May",10496,"EART"
2020,"May",3413,"ECON"
2020,"May",9861,"ENER"
2020,"May",39875,"ENGI"
2020,"May",16987,"ENVI"
2020,"May",2720,"HEAL"
2020,"May",6393,"IMMU"
2020,"May",25048,"MATE"
2020,"May",11931,"MATH"
2020,"May",55185,"MEDI"
2020,"May",5457,"NEUR"
2020,"May",3924,"NURS"
2020,"May",6263,"PHAR"
2020,"May",24907,"PHYS"
2020,"May",4455,"PSYC"
2020,"May",16804,"SOCI"
2020,"May",1758,"VETE"
2020,"May",3227,"MULT"
2020,"June",18637,"AGRI"
2020,"June",9973,"ARTS"
2020,"June",27001,"BIOC"
2020,"June",5442,"BUSI"
