year,total
1900,1
1901,2
1902,0
1903,1
1904,2
1905,1
1906,1
1907,2
1908,3
1909,0
1910,1
1911,3
1912,1
1913,2
1914,1
1915,1
1916,0
1917,1
1918,2
1919,0
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,3
1927,5
1928,3
1929,1
1930,2
1931,3
1932,1
1933,3
1934,2
1935,0
1936,3
1937,3
1938,5
1939,4
1940,2
1941,1
1942,2
1943,3
1944,6
1945,2
1946,5
1947,2
1948,9
1949,2
1950,6
1951,9
1952,10
1953,7
1954,11
1955,18
1956,12
1957,15
1958,18
1959,17
1960,25
1961,23
1962,20
1963,22
1964,27
1965,35
1966,38
1967,43
1968,51
1969,57
1970,64
1971,82
1972,88
1973,134
1974,168
1975,157
1976,165
1977,169
1978,175
1979,288
1980,266
1981,326
1982,357
1983,359
1984,411
1985,404
1986,440
1987,424
1988,567
1989,695
1990,933
1991,1261
1992,1277
1993,1500
1994,1489
1995,1852
1996,2224
1997,2589
1998,2776
1999,3469
2000,3647
2001,3684
2002,4489
2003,5117
2004,6384
2005,7551
2006,8135
2007,10280
2008,11478
2009,13772
2010,16125
2011,18041
2012,19964
2013,22692
2014,23156
2015,25990
2016,27585
2017,28796
2018,32116
2019,35326
2020,40381
2021,47365
